objectId,objectUrl,images,title,object_name,artist,date,description,dimensions,credit_line,collection,object_number
4DA094D5-7C8E-4381-951B-349987981846,https://hiculturearts.pastperfectonline.com/webobject/4DA094D5-7C8E-4381-951B-349987981846,['https://s3.amazonaws.com/pastperfectonline/images/museum_220/002/19922261.jpg'],,Collage,,1992,Child's collage of a creature.,H-14.875 W-21 inches,Gift of the Yokosuka City International Art Organization,Mayor's Office of Culture & the Arts Collection,1992.22.61
5EAE5242-98D5-4AD0-86CA-012574444806,https://hiculturearts.pastperfectonline.com/webobject/5EAE5242-98D5-4AD0-86CA-012574444806,['https://s3.amazonaws.com/pastperfectonline/images/museum_220/002/19922267.jpg'],,Collage,,1992,Abstract collage of three trees.,H-15.5 W-21.25 inches,Gift of the Yokosuka City International Art Organization,Mayor's Office of Culture & the Arts Collection,1992.22.67
6EC533BA-2804-4050-A5B4-848712052838,https://hiculturearts.pastperfectonline.com/webobject/6EC533BA-2804-4050-A5B4-848712052838,['https://s3.amazonaws.com/pastperfectonline/images/museum_220/002/19922228.jpg'],,Collage,,1992,Child's abstract collage on a black ground.,H-10.625 W-15.5 inches,Gift of the Yokosuka City International Art Organization,Mayor's Office of Culture & the Arts Collection,1992.22.28
D61A1DDA-3E8C-4FE6-9BD7-694325231739,https://hiculturearts.pastperfectonline.com/webobject/D61A1DDA-3E8C-4FE6-9BD7-694325231739,['https://s3.amazonaws.com/pastperfectonline/images/museum_220/002/19922269.jpg'],,Collage,,1992,Child's abstract collage.,H-15.375 W-21.25 inches,Gift of the Yokosuka City International Art Organization,Mayor's Office of Culture & the Arts Collection,1992.22.69
17948332-4991-4178-9CB7-687050080804,https://hiculturearts.pastperfectonline.com/webobject/17948332-4991-4178-9CB7-687050080804,['https://s3.amazonaws.com/pastperfectonline/images/museum_220/003/200007.jpg'],,"Cup, Loving","Stewart V. Medeiros, Jr.",2000,"Trophy cup given  ""To Hawaii's Firefighters in appreciation of who you are what you do and have done in keeping Hawaii safe from harms way. Mahalo. Made for you by Hawaii's living treasure Stewart V. Medeiros, Sr. Year 2000.""",H-53 W-11.5 inches,,Honolulu Fire Department Collection,2000.07
435A67FC-871E-4FC4-ABEB-546985466764,https://hiculturearts.pastperfectonline.com/webobject/435A67FC-871E-4FC4-ABEB-546985466764,"['https://s3.amazonaws.com/pastperfectonline/images/museum_220/010/196404-5.jpg', 'https://s3.amazonaws.com/pastperfectonline/images/museum_220/010/196404-6.jpg', 'https://s3.amazonaws.com/pastperfectonline/images/museum_220/001/196404-4.jpg', 'https://s3.amazonaws.com/pastperfectonline/images/museum_220/001/196404-2.jpg', 'https://s3.amazonaws.com/pastperfectonline/images/museum_220/001/196404-3.jpg', 'https://s3.amazonaws.com/pastperfectonline/images/museum_220/001/196404.jpg']",,Door,Sam Eason,1964,"Painted metal doors in four locations of Neal Blaisdell Center Exhibit Hall. 20 panels in each center area (total 40), 14 panels on Ward Avenue side (total 28). Located at the Neal Blaisdell Center.",H-72 W-36 inches,,City & County of Honolulu Collection,1964.04
89055AA1-C0C6-41E9-97E6-775522107140,https://hiculturearts.pastperfectonline.com/webobject/89055AA1-C0C6-41E9-97E6-775522107140,['https://s3.amazonaws.com/pastperfectonline/images/museum_220/002/19880802.jpg'],,Drawing,Robert Kaleo,1988,"Drawing of a black and yellow bird with a volcano in the background, huts, and trees. Mat is decorated with silhouettes of birds and linear patterns.",H-20 W-16 inches,Gift of Arts in the Parks,City & County of Honolulu,1988.08.02
8A7CFEDC-448E-4989-8480-322044128017,https://hiculturearts.pastperfectonline.com/webobject/8A7CFEDC-448E-4989-8480-322044128017,['https://s3.amazonaws.com/pastperfectonline/images/museum_220/002/19880803.jpg'],,Drawing,,1988,"Drawing of a hammerhead shark, rays, a barracuda, skulls, shells, coral. Mat is decorated with images of coral, oysters, and fish.",H-20 W-16 inches,Gift of Arts in the Parks,City & County of Honolulu,1988.08.03
E02B09E5-1A03-4727-A106-922154264961,https://hiculturearts.pastperfectonline.com/webobject/E02B09E5-1A03-4727-A106-922154264961,['https://s3.amazonaws.com/pastperfectonline/images/museum_220/002/19922203.jpg'],,Drawing,Masashi Sasaki,1992,"Drawing of insects playing musical instrucment by Masashi Sasaki,  Kurigahama Elementary School, grade 1.",,Gift of the Yokosuka City International Art Organization,Mayor's Office of Culture & the Arts Collection,1992.22.03
A9ED2A20-59E4-4EE9-8525-912995371741,https://hiculturearts.pastperfectonline.com/webobject/A9ED2A20-59E4-4EE9-8525-912995371741,['https://s3.amazonaws.com/pastperfectonline/images/museum_220/002/19922206.jpg'],,Drawing,,1992,Drawing of a creature.,H-15 W-21.257 inches,Gift of the Yokosuka City International Art Organization,Mayor's Office of Culture & the Arts Collection,1992.22.06
